set_name,name,price_market,rarity,variant,condition,name_norm,set_norm
Shadows in Valhalla,Ninja Grandmaster Hanzo,0.18,Super Rare,1st Edition,Lightly Played,ninja grandmaster hanzo,shadows in valhalla
25th Anniversary Rarity Collection,Ghostrick Angel of Mischief (Secret Rare),0.18,Secret Rare,1st Edition,Lightly Played,ghostrick angel of mischief secret rare,25th anniversary rarity collection
Shadows in Valhalla,Ninjitsu Art of Super-Transformation,0.18,Super Rare,1st Edition,Moderately Played,ninjitsu art of supertransformation,shadows in valhalla
25th Anniversary Rarity Collection,Code Talker Inverted (Secret Rare),0.17,Secret Rare,1st Edition,Near Mint,code talker inverted secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Borreload Savage Dragon (UR),0.17,Ultra Rare,1st Edition,Lightly Played,borreload savage dragon ur,25th anniversary rarity collection
Shadows in Valhalla,Hi-Speedroid Chanbara,0.17,Super Rare,1st Edition,Moderately Played,hispeedroid chanbara,shadows in valhalla
Magnificent Mavens,Dark Soul Token,0.17,Ultra Rare,1st Edition,Lightly Played,dark soul token,magnificent mavens
Shadows in Valhalla,Valkyrie Dritte,0.17,Super Rare,1st Edition,Lightly Played,valkyrie dritte,shadows in valhalla
25th Anniversary Rarity Collection,"Alpha, the Master of Beasts (UR)",0.17,Ultra Rare,1st Edition,Near Mint,alpha the master of beasts ur,25th anniversary rarity collection
Duel Devastator,Wiretap,0.17,Ultra Rare,1st Edition,Heavily Played,wiretap,duel devastator
Duel Devastator,Topologic Bomber Dragon,0.17,Ultra Rare,1st Edition,Moderately Played,topologic bomber dragon,duel devastator
25th Anniversary Rarity Collection,Change of Heart,0.17,Super Rare,1st Edition,Moderately Played,change of heart,25th anniversary rarity collection
Flames of Destruction,Revendread Executor,0.17,Rare,1st Edition,Near Mint,revendread executor,flames of destruction
Shadows in Valhalla,Neo-Spacian Flare Scarab,0.17,Super Rare,1st Edition,Heavily Played,neospacian flare scarab,shadows in valhalla
25th Anniversary Rarity Collection,Dimension Shifter,0.17,Super Rare,1st Edition,Near Mint,dimension shifter,25th anniversary rarity collection
Magnificent Mavens,G Golem Token,0.16,Ultra Rare,1st Edition,Lightly Played,g golem token,magnificent mavens
Shadows in Valhalla,Goddess Urd's Verdict,0.16,Super Rare,1st Edition,Lightly Played,goddess urds verdict,shadows in valhalla
25th Anniversary Rarity Collection,Danger!? Jackalope?,0.16,Super Rare,1st Edition,Lightly Played,danger jackalope,25th anniversary rarity collection
Flames of Destruction,Fire Fighting Daruma Doll,0.16,Rare,Unlimited,Moderately Played,fire fighting daruma doll,flames of destruction
Duel Devastator,Silent Graveyard,0.16,Ultra Rare,1st Edition,Lightly Played,silent graveyard,duel devastator
Duel Devastator,"Castel, the Skyblaster Musketeer",0.16,Ultra Rare,1st Edition,Near Mint,castel the skyblaster musketeer,duel devastator
25th Anniversary Rarity Collection,Lonefire Blossom,0.16,Super Rare,1st Edition,Near Mint,lonefire blossom,25th anniversary rarity collection
Flames of Destruction,Trickstar Delfiendium,0.16,Rare,Unlimited,Moderately Played,trickstar delfiendium,flames of destruction
Duel Power,Link Disciple,0.16,Ultra Rare,1st Edition,Lightly Played,link disciple,duel power
Duel Power,Magic Gate of Miracles,0.16,Ultra Rare,Unlimited,Moderately Played,magic gate of miracles,duel power
Magnificent Mavens,Exchange of the Spirit,0.16,Ultra Rare,1st Edition,Lightly Played,exchange of the spirit,magnificent mavens
Flames of Destruction,Sekka's Light,0.16,Rare,1st Edition,Lightly Played,sekkas light,flames of destruction
Magnificent Mavens,Non-Fusion Area,0.15,Ultra Rare,1st Edition,Lightly Played,nonfusion area,magnificent mavens
25th Anniversary Rarity Collection,Wynn the Wind Channeler (Secret Rare),0.15,Secret Rare,1st Edition,Lightly Played,wynn the wind channeler secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Fossil Dig,0.15,Super Rare,1st Edition,Lightly Played,fossil dig,25th anniversary rarity collection
Magnificent Mavens,Ice Dragon's Prison,0.15,Ultra Rare,1st Edition,Lightly Played,ice dragons prison,magnificent mavens
Magnificent Mavens,Doom Dozer,0.15,Ultra Rare,1st Edition,Moderately Played,doom dozer,magnificent mavens
25th Anniversary Rarity Collection,Masked HERO Dark Law (UR),0.15,Ultra Rare,1st Edition,Lightly Played,masked hero dark law ur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Magician's Salvation,0.15,Super Rare,1st Edition,Lightly Played,magicians salvation,25th anniversary rarity collection
25th Anniversary Rarity Collection,Elder Entity N'tss,0.15,Super Rare,1st Edition,Moderately Played,elder entity ntss,25th anniversary rarity collection
25th Anniversary Rarity Collection,Herald of the Arc Light,0.15,Super Rare,1st Edition,Damaged,herald of the arc light,25th anniversary rarity collection
Magnificent Mavens,Aileron,0.15,Ultra Rare,1st Edition,Near Mint,aileron,magnificent mavens
Magnificent Mavens,Token: Sky Striker Ace,0.15,Ultra Rare,1st Edition,Moderately Played,token sky striker ace,magnificent mavens
Magnificent Mavens,Beautunaful Princess,0.15,Ultra Rare,1st Edition,Moderately Played,beautunaful princess,magnificent mavens
Duel Power,Beat Cop from the Underworld,0.15,Ultra Rare,Unlimited,Lightly Played,beat cop from the underworld,duel power
Flames of Destruction,Knightmare Phoenix,0.15,Super Rare,Unlimited,Moderately Played,knightmare phoenix,flames of destruction
Magnificent Mavens,Blue-Eyes Abyss Dragon,0.15,Ultra Rare,1st Edition,Moderately Played,blueeyes abyss dragon,magnificent mavens
Shadows in Valhalla,Elemental HERO Magma Neos,0.15,Super Rare,1st Edition,Heavily Played,elemental hero magma neos,shadows in valhalla
25th Anniversary Rarity Collection,Red-Eyes Flare Metal Dragon,0.15,Super Rare,1st Edition,Moderately Played,redeyes flare metal dragon,25th anniversary rarity collection
Shadows in Valhalla,Neo-Spacian Glow Moss,0.15,Super Rare,1st Edition,Heavily Played,neospacian glow moss,shadows in valhalla
Shadows in Valhalla,Vision HERO Trinity,0.15,Super Rare,1st Edition,Moderately Played,vision hero trinity,shadows in valhalla
25th Anniversary Rarity Collection,Magicalized Fusion (PUR),0.15,Prismatic Ultimate Rare,1st Edition,Moderately Played,magicalized fusion pur,25th anniversary rarity collection
Duel Devastator,Mind Control,0.15,Ultra Rare,1st Edition,Heavily Played,mind control,duel devastator
Duel Devastator,Clear Wing Fast Dragon,0.15,Ultra Rare,1st Edition,Moderately Played,clear wing fast dragon,duel devastator
25th Anniversary Rarity Collection,The Iris Swordsoul (UR),0.15,Ultra Rare,1st Edition,Near Mint,the iris swordsoul ur,25th anniversary rarity collection
Magnificent Mavens,Traptrix Sera,0.15,Ultra Rare,1st Edition,Lightly Played,traptrix sera,magnificent mavens
Duel Power,Backup Supervisor,0.15,Ultra Rare,1st Edition,Lightly Played,backup supervisor,duel power
Duel Devastator,D.D. Crow,0.15,Ultra Rare,1st Edition,Damaged,dd crow,duel devastator
25th Anniversary Rarity Collection,Downerd Magician (UR),0.14,Ultra Rare,1st Edition,Near Mint,downerd magician ur,25th anniversary rarity collection
Duel Power,Doublebyte Dragon,0.14,Ultra Rare,1st Edition,Lightly Played,doublebyte dragon,duel power
Duel Power,Gouki Jet Ogre,0.14,Ultra Rare,1st Edition,Damaged,gouki jet ogre,duel power
Duel Devastator,Spell Canceller,0.14,Ultra Rare,1st Edition,Heavily Played,spell canceller,duel devastator
25th Anniversary Rarity Collection,Cyber Angel Benten (Secret Rare),0.14,Secret Rare,1st Edition,Moderately Played,cyber angel benten secret rare,25th anniversary rarity collection
Flames of Destruction,Vendread Anima,0.14,Rare,1st Edition,Moderately Played,vendread anima,flames of destruction
25th Anniversary Rarity Collection,Mekk-Knight Crusadia Avramax (UR),0.14,Ultra Rare,1st Edition,Lightly Played,mekkknight crusadia avramax ur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Summon Limit (UR),0.14,Ultra Rare,1st Edition,Lightly Played,summon limit ur,25th anniversary rarity collection
Duel Devastator,Book of Eclipse,0.14,Ultra Rare,1st Edition,Moderately Played,book of eclipse,duel devastator
25th Anniversary Rarity Collection,Cyber Angel Benten (PCR),0.14,Prismatic Collector's Rare,1st Edition,Lightly Played,cyber angel benten pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,Fallen of Albaz,0.14,Super Rare,1st Edition,Lightly Played,fallen of albaz,25th anniversary rarity collection
25th Anniversary Rarity Collection,"Artemis, the Magistus Moon Maiden",0.14,Super Rare,1st Edition,Moderately Played,artemis the magistus moon maiden,25th anniversary rarity collection
25th Anniversary Rarity Collection,"Dogmatika Ecclesia, the Virtuous (UR)",0.14,Ultra Rare,1st Edition,Heavily Played,dogmatika ecclesia the virtuous ur,25th anniversary rarity collection
Magnificent Mavens,Onibimaru Soul Sweeper,0.14,Ultra Rare,1st Edition,Moderately Played,onibimaru soul sweeper,magnificent mavens
Magnificent Mavens,Cat Shark,0.14,Ultra Rare,1st Edition,Moderately Played,cat shark,magnificent mavens
25th Anniversary Rarity Collection,Eldlich the Golden Lord (UR),0.14,Ultra Rare,1st Edition,Lightly Played,eldlich the golden lord ur,25th anniversary rarity collection
Magnificent Mavens,Number 93: Utopia Kaiser,0.14,Ultra Rare,1st Edition,Moderately Played,number 93 utopia kaiser,magnificent mavens
