set_name,name,price_market,rarity,variant,condition,name_norm,set_norm
Magnificent Mavens,Dark Magician Girl (Ultra Pharaoh's Rare),1000.0,Ultra Pharaoh’s Rare,1st Edition,Near Mint,dark magician girl ultra pharaohs rare,magnificent mavens
Magnificent Mavens,Blue-Eyes White Dragon (Ultra Pharaoh's Rare),549.95,Ultra Pharaoh’s Rare,1st Edition,Near Mint,blueeyes white dragon ultra pharaohs rare,magnificent mavens
Magnificent Mavens,Dark Magician Girl (Secret Pharaoh's Rare),350.0,Secret Pharaoh’s Rare,1st Edition,Lightly Played,dark magician girl secret pharaohs rare,magnificent mavens
Magnificent Mavens,Blue-Eyes White Dragon (Secret Pharaoh's Rare),329.95,Secret Pharaoh’s Rare,1st Edition,Moderately Played,blueeyes white dragon secret pharaohs rare,magnificent mavens
Magnificent Mavens,Gold Sarcophagus (Ultra Pharaoh's Rare),283.99,Ultra Pharaoh’s Rare,1st Edition,Near Mint,gold sarcophagus ultra pharaohs rare,magnificent mavens
Magnificent Mavens,Red-Eyes Black Dragon (Ultra Pharaoh's Rare),248.98,Ultra Pharaoh’s Rare,1st Edition,Near Mint,redeyes black dragon ultra pharaohs rare,magnificent mavens
Magnificent Mavens,Mirror Force (Ultra Pharaoh's Rare),237.62,Ultra Pharaoh’s Rare,1st Edition,Near Mint,mirror force ultra pharaohs rare,magnificent mavens
Magnificent Mavens,Reinforcement of the Army (Ultra Pharaoh's Rare),169.35,Ultra Pharaoh’s Rare,1st Edition,Near Mint,reinforcement of the army ultra pharaohs rare,magnificent mavens
Shadows in Valhalla,Shadows in Valhalla Booster Box,146.66,,Normal,Sealed,shadows in valhalla booster box,shadows in valhalla
Magnificent Mavens,Elemental HERO Neos (Ultra Pharaoh's Rare),140.0,Ultra Pharaoh’s Rare,1st Edition,Lightly Played,elemental hero neos ultra pharaohs rare,magnificent mavens
25th Anniversary Rarity Collection,25th Anniversary Rarity Collection Booster Box,136.97,,Normal,Sealed,25th anniversary rarity collection booster box,25th anniversary rarity collection
Magnificent Mavens,Change of Heart (Ultra Pharaoh's Rare),135.44,Ultra Pharaoh’s Rare,1st Edition,Near Mint,change of heart ultra pharaohs rare,magnificent mavens
Magnificent Mavens,Necrovalley (Ultra Pharaoh's Rare),124.94,Ultra Pharaoh’s Rare,1st Edition,Near Mint,necrovalley ultra pharaohs rare,magnificent mavens
Magnificent Mavens,Triple Tactics Talent (Ultra Pharaoh's Rare),119.0,Ultra Pharaoh’s Rare,1st Edition,Lightly Played,triple tactics talent ultra pharaohs rare,magnificent mavens
Magnificent Mavens,The Seal of Orichalcos (Ultra Pharaoh's Rare),111.77,Ultra Pharaoh’s Rare,1st Edition,Near Mint,the seal of orichalcos ultra pharaohs rare,magnificent mavens
Magnificent Mavens,Toon Kingdom (Ultra Pharaoh's Rare),99.95,Ultra Pharaoh’s Rare,1st Edition,Near Mint,toon kingdom ultra pharaohs rare,magnificent mavens
25th Anniversary Rarity Collection,Ash Blossom & Joyous Spring (Quarter Century Secret Rare),85.7,Quarter Century Secret Rare,1st Edition,Near Mint,ash blossom  joyous spring quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,25th Anniversary Rarity Collection Booster Box (Retail Exclusive),85.28,,Normal,Sealed,25th anniversary rarity collection booster box retail exclusive,25th anniversary rarity collection
Flames of Destruction,Flames of Destruction Booster Box,84.99,,Normal,Sealed,flames of destruction booster box,flames of destruction
Duel Power,Duel Power Box Set,79.73,,Normal,Sealed,duel power box set,duel power
Magnificent Mavens,Elemental HERO Neos (Secret Pharaoh's Rare),75.78,Secret Pharaoh’s Rare,1st Edition,Near Mint,elemental hero neos secret pharaohs rare,magnificent mavens
Magnificent Mavens,Crystal Bond (Ultra Pharaoh's Rare),75.27,Ultra Pharaoh’s Rare,1st Edition,Near Mint,crystal bond ultra pharaohs rare,magnificent mavens
Duel Devastator,Duel Devastator Box,74.79,,Normal,Sealed,duel devastator box,duel devastator
Magnificent Mavens,Change of Heart (Secret Pharaoh's Rare),71.84,Secret Pharaoh’s Rare,1st Edition,Near Mint,change of heart secret pharaohs rare,magnificent mavens
Magnificent Mavens,Mirror Force (Secret Pharaoh's Rare),59.46,Secret Pharaoh’s Rare,1st Edition,Lightly Played,mirror force secret pharaohs rare,magnificent mavens
Magnificent Mavens,Millennium-Eyes Restrict (Secret Pharaoh's Rare),59.0,Secret Pharaoh’s Rare,1st Edition,Lightly Played,millenniumeyes restrict secret pharaohs rare,magnificent mavens
25th Anniversary Rarity Collection,Infinite Impermanence (Quarter Century Secret Rare),56.99,Quarter Century Secret Rare,1st Edition,Near Mint,infinite impermanence quarter century secret rare,25th anniversary rarity collection
Magnificent Mavens,Triple Tactics Talent (Secret Pharaoh's Rare),55.99,Secret Pharaoh’s Rare,1st Edition,Moderately Played,triple tactics talent secret pharaohs rare,magnificent mavens
Magnificent Mavens,Black Luster Soldier - Soldier of Chaos (Ultra Pharaoh's Rare),52.14,Ultra Pharaoh’s Rare,1st Edition,Lightly Played,black luster soldier  soldier of chaos ultra pharaohs rare,magnificent mavens
Magnificent Mavens,Gold Sarcophagus (Secret Pharaoh's Rare),51.53,Secret Pharaoh’s Rare,1st Edition,Lightly Played,gold sarcophagus secret pharaohs rare,magnificent mavens
Magnificent Mavens,Toon Kingdom (Secret Pharaoh's Rare),49.86,Secret Pharaoh’s Rare,1st Edition,Near Mint,toon kingdom secret pharaohs rare,magnificent mavens
25th Anniversary Rarity Collection,Forbidden Droplet (Quarter Century Secret Rare),48.56,Quarter Century Secret Rare,1st Edition,Near Mint,forbidden droplet quarter century secret rare,25th anniversary rarity collection
Magnificent Mavens,The Seal of Orichalcos (Secret Pharaoh's Rare),48.5,Secret Pharaoh’s Rare,1st Edition,Lightly Played,the seal of orichalcos secret pharaohs rare,magnificent mavens
Magnificent Mavens,Black Luster Soldier - Soldier of Chaos (Secret Pharaoh's Rare),47.8,Secret Pharaoh’s Rare,1st Edition,Lightly Played,black luster soldier  soldier of chaos secret pharaohs rare,magnificent mavens
Magnificent Mavens,Millennium-Eyes Restrict (Ultra Pharaoh's Rare),44.95,Ultra Pharaoh’s Rare,1st Edition,Moderately Played,millenniumeyes restrict ultra pharaohs rare,magnificent mavens
25th Anniversary Rarity Collection,Effect Veiler (Quarter Century Secret Rare),42.93,Quarter Century Secret Rare,1st Edition,Near Mint,effect veiler quarter century secret rare,25th anniversary rarity collection
Magnificent Mavens,Necrovalley (Secret Pharaoh's Rare),42.27,Secret Pharaoh’s Rare,1st Edition,Near Mint,necrovalley secret pharaohs rare,magnificent mavens
Magnificent Mavens,Red-Eyes Black Dragon (Secret Pharaoh's Rare),41.96,Secret Pharaoh’s Rare,1st Edition,Lightly Played,redeyes black dragon secret pharaohs rare,magnificent mavens
Magnificent Mavens,Gravekeeper's Trap (Ultra Pharaoh's Rare),40.61,Ultra Pharaoh’s Rare,1st Edition,Near Mint,gravekeepers trap ultra pharaohs rare,magnificent mavens
25th Anniversary Rarity Collection,"Nibiru, the Primal Being (Quarter Century Secret Rare)",36.99,Quarter Century Secret Rare,1st Edition,Moderately Played,nibiru the primal being quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Triple Tactics Talent (Quarter Century Secret Rare),35.0,Quarter Century Secret Rare,1st Edition,Heavily Played,triple tactics talent quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Called by the Grave (Quarter Century Secret Rare),32.81,Quarter Century Secret Rare,1st Edition,Near Mint,called by the grave quarter century secret rare,25th anniversary rarity collection
Magnificent Mavens,Lightning Storm (Ultra Pharaoh's Rare),30.0,Ultra Pharaoh’s Rare,1st Edition,Lightly Played,lightning storm ultra pharaohs rare,magnificent mavens
25th Anniversary Rarity Collection,Dark Ruler No More (Quarter Century Secret Rare),27.84,Quarter Century Secret Rare,1st Edition,Near Mint,dark ruler no more quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Evenly Matched (Quarter Century Secret Rare),25.0,Quarter Century Secret Rare,1st Edition,Damaged,evenly matched quarter century secret rare,25th anniversary rarity collection
Magnificent Mavens,Lightning Storm (Secret Pharaoh's Rare),24.99,Secret Pharaoh’s Rare,1st Edition,Lightly Played,lightning storm secret pharaohs rare,magnificent mavens
Magnificent Mavens,The True Name (Ultra Pharaoh's Rare),23.15,Ultra Pharaoh’s Rare,1st Edition,Near Mint,the true name ultra pharaohs rare,magnificent mavens
Magnificent Mavens,Gravekeeper's Trap (Secret Pharaoh's Rare),20.74,Secret Pharaoh’s Rare,1st Edition,Near Mint,gravekeepers trap secret pharaohs rare,magnificent mavens
Magnificent Mavens,Reinforcement of the Army (Secret Pharaoh's Rare),20.0,Secret Pharaoh’s Rare,1st Edition,Damaged,reinforcement of the army secret pharaohs rare,magnificent mavens
25th Anniversary Rarity Collection,Lightning Storm (Quarter Century Secret Rare),19.95,Quarter Century Secret Rare,1st Edition,Moderately Played,lightning storm quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Dimensional Barrier (Quarter Century Secret Rare),19.8,Quarter Century Secret Rare,1st Edition,Near Mint,dimensional barrier quarter century secret rare,25th anniversary rarity collection
Flames of Destruction,Flames of Destruction - Special Edition,18.95,,Normal,Sealed,flames of destruction  special edition,flames of destruction
25th Anniversary Rarity Collection,Nadir Servant (Quarter Century Secret Rare),17.5,Quarter Century Secret Rare,1st Edition,Moderately Played,nadir servant quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Pre-Preparation of Rites (Quarter Century Secret Rare),17.09,Quarter Century Secret Rare,1st Edition,Lightly Played,prepreparation of rites quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Artifact Lancea (Quarter Century Secret Rare),16.0,Quarter Century Secret Rare,1st Edition,Moderately Played,artifact lancea quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Fallen of Albaz (Quarter Century Secret Rare),15.95,Quarter Century Secret Rare,1st Edition,Moderately Played,fallen of albaz quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Baronne de Fleur (Quarter Century Secret Rare),15.17,Quarter Century Secret Rare,1st Edition,Near Mint,baronne de fleur quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Pot of Prosperity (Quarter Century Secret Rare),14.99,Quarter Century Secret Rare,1st Edition,Damaged,pot of prosperity quarter century secret rare,25th anniversary rarity collection
Duel Power,Duel Power Booster Pack,14.96,,Normal,Sealed,duel power booster pack,duel power
25th Anniversary Rarity Collection,Masked HERO Dark Law (Quarter Century Secret Rare),14.0,Quarter Century Secret Rare,1st Edition,Moderately Played,masked hero dark law quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Ancient Fairy Dragon (Quarter Century Secret Rare),13.07,Quarter Century Secret Rare,1st Edition,Near Mint,ancient fairy dragon quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Infinite Impermanence (Platinum Secret Rare),12.41,Platinum Secret Rare,1st Edition,Heavily Played,infinite impermanence platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Ghost Belle & Haunted Mansion (Quarter Century Secret Rare),12.0,Quarter Century Secret Rare,1st Edition,Moderately Played,ghost belle  haunted mansion quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Lava Golem (Quarter Century Secret Rare),12.0,Quarter Century Secret Rare,1st Edition,Moderately Played,lava golem quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Tour Guide From the Underworld (Quarter Century Secret Rare),11.22,Quarter Century Secret Rare,1st Edition,Near Mint,tour guide from the underworld quarter century secret rare,25th anniversary rarity collection
Magnificent Mavens,The True Name (Secret Pharaoh's Rare),10.69,Secret Pharaoh’s Rare,1st Edition,Heavily Played,the true name secret pharaohs rare,magnificent mavens
25th Anniversary Rarity Collection,Change of Heart (Quarter Century Secret Rare),10.65,Quarter Century Secret Rare,1st Edition,Near Mint,change of heart quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Infinite Impermanence (PUR),10.49,Prismatic Ultimate Rare,1st Edition,Moderately Played,infinite impermanence pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Herald of the Arc Light (Quarter Century Secret Rare),10.0,Quarter Century Secret Rare,1st Edition,Moderately Played,herald of the arc light quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Pot of Extravagance (Quarter Century Secret Rare),9.99,Quarter Century Secret Rare,1st Edition,Moderately Played,pot of extravagance quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,"Artemis, the Magistus Moon Maiden (Quarter Century Secret Rare)",9.99,Quarter Century Secret Rare,1st Edition,Moderately Played,artemis the magistus moon maiden quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Borreload Savage Dragon (Quarter Century Secret Rare),9.94,Quarter Century Secret Rare,1st Edition,Lightly Played,borreload savage dragon quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,The Winged Dragon of Ra - Sphere Mode (Quarter Century Secret Rare),9.78,Quarter Century Secret Rare,1st Edition,Lightly Played,the winged dragon of ra  sphere mode quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Striker Dragon (Quarter Century Secret Rare),9.58,Quarter Century Secret Rare,1st Edition,Lightly Played,striker dragon quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Infinite Impermanence (PCR),9.36,Prismatic Collector's Rare,1st Edition,Near Mint,infinite impermanence pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,Forbidden Droplet (Platinum Secret Rare),9.25,Platinum Secret Rare,1st Edition,Damaged,forbidden droplet platinum secret rare,25th anniversary rarity collection
Flames of Destruction,Infinite Impermanence,9.24,Secret Rare,1st Edition,Damaged,infinite impermanence,flames of destruction
25th Anniversary Rarity Collection,25th Anniversary Rarity Collection Sleeved Booster Pack,9.03,,Normal,Sealed,25th anniversary rarity collection sleeved booster pack,25th anniversary rarity collection
25th Anniversary Rarity Collection,"Selene, Queen of the Master Magicians (Quarter Century Secret Rare)",9.02,Quarter Century Secret Rare,1st Edition,Moderately Played,selene queen of the master magicians quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Pot of Desires (Quarter Century Secret Rare),8.97,Quarter Century Secret Rare,1st Edition,Near Mint,pot of desires quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Forbidden Droplet (PUR),8.94,Prismatic Ultimate Rare,1st Edition,Near Mint,forbidden droplet pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Effect Veiler (Platinum Secret Rare),8.53,Platinum Secret Rare,1st Edition,Near Mint,effect veiler platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Ash Blossom & Joyous Spring (Platinum Secret Rare),8.33,Platinum Secret Rare,1st Edition,Near Mint,ash blossom  joyous spring platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Compulsory Evacuation Device (Quarter Century Secret Rare),8.0,Quarter Century Secret Rare,1st Edition,Damaged,compulsory evacuation device quarter century secret rare,25th anniversary rarity collection
Shadows in Valhalla,Shadows in Valhalla Booster Pack,7.96,,Normal,Sealed,shadows in valhalla booster pack,shadows in valhalla
25th Anniversary Rarity Collection,Forbidden Droplet (PCR),7.95,Prismatic Collector's Rare,1st Edition,Moderately Played,forbidden droplet pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,Lonefire Blossom (Quarter Century Secret Rare),7.6,Quarter Century Secret Rare,1st Edition,Moderately Played,lonefire blossom quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Harpie's Feather Storm (Quarter Century Secret Rare),7.05,Quarter Century Secret Rare,1st Edition,Near Mint,harpies feather storm quarter century secret rare,25th anniversary rarity collection
Duel Power,Dark Cavalry,6.99,Ultra Rare,1st Edition,Heavily Played,dark cavalry,duel power
25th Anniversary Rarity Collection,Small World (Quarter Century Secret Rare),6.99,Quarter Century Secret Rare,1st Edition,Moderately Played,small world quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Ash Blossom & Joyous Spring (PCR),6.93,Prismatic Collector's Rare,1st Edition,Near Mint,ash blossom  joyous spring pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,Forbidden Droplet (Secret Rare),6.67,Secret Rare,1st Edition,Near Mint,forbidden droplet secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Dimension Shifter (Quarter Century Secret Rare),6.51,Quarter Century Secret Rare,1st Edition,Heavily Played,dimension shifter quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,25th Anniversary Rarity Collection Booster Pack,6.43,,Normal,Sealed,25th anniversary rarity collection booster pack,25th anniversary rarity collection
25th Anniversary Rarity Collection,Ghost Belle & Haunted Mansion (PCR),6.32,Prismatic Collector's Rare,1st Edition,Lightly Played,ghost belle  haunted mansion pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,Called by the Grave (Platinum Secret Rare),6.3,Platinum Secret Rare,1st Edition,Moderately Played,called by the grave platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Magician's Salvation (Quarter Century Secret Rare),6.16,Quarter Century Secret Rare,1st Edition,Near Mint,magicians salvation quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Infinite Impermanence (Secret Rare),6.09,Secret Rare,1st Edition,Near Mint,infinite impermanence secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Effect Veiler (PCR),6.0,Prismatic Collector's Rare,1st Edition,Damaged,effect veiler pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,Elder Entity N'tss (Quarter Century Secret Rare),5.76,Quarter Century Secret Rare,1st Edition,Near Mint,elder entity ntss quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Inspector Boarder (Quarter Century Secret Rare),5.62,Quarter Century Secret Rare,1st Edition,Lightly Played,inspector boarder quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Triple Tactics Talent (Platinum Secret Rare),5.62,Platinum Secret Rare,1st Edition,Near Mint,triple tactics talent platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Reinforcement of the Army (Platinum Secret Rare),5.45,Platinum Secret Rare,1st Edition,Near Mint,reinforcement of the army platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,"Cherubini, Ebon Angel of the Burning Abyss (Quarter Century Secret Rare)",5.44,Quarter Century Secret Rare,1st Edition,Near Mint,cherubini ebon angel of the burning abyss quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,"Dingirsu, the Orcust of the Evening Star (Quarter Century Secret Rare)",5.33,Quarter Century Secret Rare,1st Edition,Near Mint,dingirsu the orcust of the evening star quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Lightning Storm (Platinum Secret Rare),5.15,Platinum Secret Rare,1st Edition,Moderately Played,lightning storm platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Reasoning (Quarter Century Secret Rare),5.0,Quarter Century Secret Rare,1st Edition,Damaged,reasoning quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Effect Veiler (PUR),5.0,Prismatic Ultimate Rare,1st Edition,Damaged,effect veiler pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Red-Eyes Flare Metal Dragon (Quarter Century Secret Rare),4.99,Quarter Century Secret Rare,1st Edition,Damaged,redeyes flare metal dragon quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Blue-Eyes Abyss Dragon (Quarter Century Secret Rare),4.99,Quarter Century Secret Rare,1st Edition,Damaged,blueeyes abyss dragon quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Triple Tactics Talent (PUR),4.96,Prismatic Ultimate Rare,1st Edition,Near Mint,triple tactics talent pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Cyber Angel Benten (Quarter Century Secret Rare),4.8,Quarter Century Secret Rare,1st Edition,Near Mint,cyber angel benten quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Egyptian God Slime (Quarter Century Secret Rare),4.75,Quarter Century Secret Rare,1st Edition,Near Mint,egyptian god slime quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Ice Dragon's Prison (Quarter Century Secret Rare),4.65,Quarter Century Secret Rare,1st Edition,Near Mint,ice dragons prison quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Ash Blossom & Joyous Spring (PUR),4.61,Prismatic Ultimate Rare,1st Edition,Moderately Played,ash blossom  joyous spring pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Knightmare Unicorn (Alternate Art) (Quarter Century Secret Rare),4.55,Quarter Century Secret Rare,1st Edition,Near Mint,knightmare unicorn alternate art quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Galaxy-Eyes Full Armor Photon Dragon (Quarter Century Secret Rare),4.5,Quarter Century Secret Rare,1st Edition,Near Mint,galaxyeyes full armor photon dragon quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Danger!? Jackalope? (Quarter Century Secret Rare),4.4,Quarter Century Secret Rare,1st Edition,Near Mint,danger jackalope quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Ghost Belle & Haunted Mansion (Platinum Secret Rare),4.38,Platinum Secret Rare,1st Edition,Lightly Played,ghost belle  haunted mansion platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Lightning Storm (PCR),4.3,Prismatic Collector's Rare,1st Edition,Moderately Played,lightning storm pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,"Nibiru, the Primal Being (Platinum Secret Rare)",4.25,Platinum Secret Rare,1st Edition,Heavily Played,nibiru the primal being platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Effect Veiler (Secret Rare),4.18,Secret Rare,1st Edition,Damaged,effect veiler secret rare,25th anniversary rarity collection
Duel Power,Duel Power Promo Pack,4.15,,Normal,Sealed,duel power promo pack,duel power
25th Anniversary Rarity Collection,Artifact Lancea (PCR),4.15,Prismatic Collector's Rare,1st Edition,Moderately Played,artifact lancea pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,Called by the Grave (PCR),4.09,Prismatic Collector's Rare,1st Edition,Near Mint,called by the grave pcr,25th anniversary rarity collection
Magnificent Mavens,Infinite Impermanence,4.0,Ultra Rare,1st Edition,Damaged,infinite impermanence,magnificent mavens
Flames of Destruction,Flames of Destruction Booster Pack,4.0,Common / Short Print,Normal,Sealed,flames of destruction booster pack,flames of destruction
25th Anniversary Rarity Collection,Eldlich the Golden Lord (Alternate Art) (Quarter Century Secret Rare),4.0,Quarter Century Secret Rare,1st Edition,Damaged,eldlich the golden lord alternate art quarter century secret rare,25th anniversary rarity collection
Duel Power,Infinite Impermanence,3.99,Ultra Rare,1st Edition,Heavily Played,infinite impermanence,duel power
25th Anniversary Rarity Collection,Eldlich the Golden Lord (Quarter Century Secret Rare),3.99,Quarter Century Secret Rare,1st Edition,Moderately Played,eldlich the golden lord quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Evenly Matched (PCR),3.71,Prismatic Collector's Rare,1st Edition,Near Mint,evenly matched pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,Downerd Magician (Quarter Century Secret Rare),3.61,Quarter Century Secret Rare,1st Edition,Near Mint,downerd magician quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Reinforcement of the Army (Quarter Century Secret Rare),3.6,Quarter Century Secret Rare,1st Edition,Damaged,reinforcement of the army quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Time Thief Redoer (Quarter Century Secret Rare),3.55,Quarter Century Secret Rare,1st Edition,Near Mint,time thief redoer quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Dogmatika Punishment (Quarter Century Secret Rare),3.49,Quarter Century Secret Rare,1st Edition,Heavily Played,dogmatika punishment quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Red-Eyes Flare Metal Dragon (Platinum Secret Rare),3.48,Platinum Secret Rare,1st Edition,Lightly Played,redeyes flare metal dragon platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Triple Tactics Talent (PCR),3.47,Prismatic Collector's Rare,1st Edition,Near Mint,triple tactics talent pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,Triple Tactics Talent (Secret Rare),3.45,Secret Rare,1st Edition,Near Mint,triple tactics talent secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Herald of the Arc Light (Platinum Secret Rare),3.26,Platinum Secret Rare,1st Edition,Lightly Played,herald of the arc light platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Decode Talker Heatsoul (Quarter Century Secret Rare),3.25,Quarter Century Secret Rare,1st Edition,Near Mint,decode talker heatsoul quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Infinite Impermanence,3.25,Super Rare,1st Edition,Moderately Played,infinite impermanence,25th anniversary rarity collection
25th Anniversary Rarity Collection,Blackwing - Simoon the Poison Wind (Quarter Century Secret Rare),3.18,Quarter Century Secret Rare,1st Edition,Moderately Played,blackwing  simoon the poison wind quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Dark Ruler No More (Platinum Secret Rare),3.16,Platinum Secret Rare,1st Edition,Lightly Played,dark ruler no more platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,The Iris Swordsoul (Quarter Century Secret Rare),3.0,Quarter Century Secret Rare,1st Edition,Moderately Played,the iris swordsoul quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Infinite Impermanence (UR),3.0,Ultra Rare,1st Edition,Heavily Played,infinite impermanence ur,25th anniversary rarity collection
Magnificent Mavens,Sky Striker Mecha - Widow Anchor,3.0,Ultra Rare,1st Edition,Damaged,sky striker mecha  widow anchor,magnificent mavens
25th Anniversary Rarity Collection,"Dogmatika Ecclesia, the Virtuous (Quarter Century Secret Rare)",3.0,Quarter Century Secret Rare,1st Edition,Heavily Played,dogmatika ecclesia the virtuous quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Number 100: Numeron Dragon (Quarter Century Secret Rare),3.0,Quarter Century Secret Rare,1st Edition,Moderately Played,number 100 numeron dragon quarter century secret rare,25th anniversary rarity collection
Duel Power,Platinum Gadget,3.0,Ultra Rare,Unlimited,Moderately Played,platinum gadget,duel power
25th Anniversary Rarity Collection,Forbidden Droplet,3.0,Super Rare,1st Edition,Heavily Played,forbidden droplet,25th anniversary rarity collection
25th Anniversary Rarity Collection,Evenly Matched (Platinum Secret Rare),3.0,Platinum Secret Rare,1st Edition,Damaged,evenly matched platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Called by the Grave (PUR),2.99,Prismatic Ultimate Rare,1st Edition,Moderately Played,called by the grave pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Knightmare Unicorn (Quarter Century Secret Rare),2.99,Quarter Century Secret Rare,1st Edition,Heavily Played,knightmare unicorn quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Junk Speeder (Quarter Century Secret Rare),2.99,Quarter Century Secret Rare,1st Edition,Moderately Played,junk speeder quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Evenly Matched (PUR),2.99,Prismatic Ultimate Rare,1st Edition,Heavily Played,evenly matched pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Summon Limit (Quarter Century Secret Rare),2.87,Quarter Century Secret Rare,1st Edition,Lightly Played,summon limit quarter century secret rare,25th anniversary rarity collection
Flames of Destruction,Knightmare Gryphon,2.82,Secret Rare,1st Edition,Near Mint,knightmare gryphon,flames of destruction
