set,name,variant,condition,rarity,price
2025-mega-pack-yugioh,Bystial Saronir,1st Edition,Near Mint,Ultra Rare,0.61
2025-mega-pack-yugioh,Primite Drillbeam,1st Edition,Near Mint,Prismatic Secret Rare,0.7
2025-mega-pack-yugioh,Black Garden,1st Edition,Near Mint,Prismatic Secret Rare,0.7
2025-mega-pack-yugioh,Silvy of the White Forest,1st Edition,Lightly Played,Ultra Rare,0.5
2025-mega-pack-yugioh,"Silvera, Wolf Tamer of the White Forest",1st Edition,Near Mint,Prismatic Secret Rare,0.68
2025-mega-pack-yugioh,Light End Sublimation Dragon,1st Edition,Lightly Played,Ultra Rare,0.62
2025-mega-pack-yugioh,Silent Swordsman Zero,1st Edition,Lightly Played,Prismatic Secret Rare,0.5
2025-mega-pack-yugioh,Disablaster the Negation Fortress,1st Edition,Near Mint,Prismatic Secret Rare,0.63
2025-mega-pack-yugioh,Mimighoul Master,1st Edition,Near Mint,Prismatic Secret Rare,0.59
2025-mega-pack-yugioh,Goblin Biker Grand Entrance,1st Edition,Lightly Played,Prismatic Secret Rare,0.4
2025-mega-pack-yugioh,True Light,1st Edition,Near Mint,Starlight Rare,0.59
2025-mega-pack-yugioh,Diabellze the Original Sinkeeper,1st Edition,Near Mint,Prismatic Secret Rare,0.56
2025-mega-pack-yugioh,Goblin Biker Dugg Charger,1st Edition,Near Mint,Prismatic Secret Rare,0.56
2025-mega-pack-yugioh,Mementotlan Shleepy,1st Edition,Near Mint,Prismatic Secret Rare,0.55
2025-mega-pack-yugioh,Ally of Justice Cycle Reader,1st Edition,Lightly Played,Ultra Rare,0.37
2025-mega-pack-yugioh,Mementotlan Shleepy,1st Edition,Near Mint,Prismatic Secret Rare,0.55
2025-mega-pack-yugioh,Mermail Shadow Squad,1st Edition,Lightly Played,Prismatic Secret Rare,0.47
2025-mega-pack-yugioh,EM:P Meowmine,1st Edition,Near Mint,Prismatic Secret Rare,0.53
2025-mega-pack-yugioh,Mementotlan Twin Dragon,1st Edition,Near Mint,Prismatic Secret Rare,0.53
2025-mega-pack-yugioh,Starlight Road,1st Edition,Lightly Played,Starlight Rare,0.35
2025-mega-pack-yugioh,Linguriboh,1st Edition,Lightly Played,Prismatic Secret Rare,0.49
2025-mega-pack-yugioh,D.D. Designator,1st Edition,Near Mint,Starlight Rare,0.52
2025-mega-pack-yugioh,Centur-Ion Auxila,1st Edition,Lightly Played,Prismatic Secret Rare,0.5
2025-mega-pack-yugioh,"Spell Card ""Soul Exchange""",1st Edition,Lightly Played,Starlight Rare,0.3
2025-mega-pack-yugioh,"Rciela, Sinister Soul of the White Forest",1st Edition,Near Mint,Prismatic Secret Rare,0.51
2025-mega-pack-yugioh,Wake Up Centur-Ion!,1st Edition,Near Mint,Prismatic Secret Rare,0.37
2025-mega-pack-yugioh,"Rciela, Sinister Soul of the White Forest",1st Edition,Near Mint,Prismatic Secret Rare,0.51
2025-mega-pack-yugioh,Ryzeal Detonator,1st Edition,Near Mint,Prismatic Secret Rare,0.51
2025-mega-pack-yugioh,Ties That Bind,1st Edition,Near Mint,Prismatic Secret Rare,0.51
2025-mega-pack-yugioh,Number F0: Utopic Future,1st Edition,Near Mint,Ultra Rare,0.14
2025-mega-pack-yugioh,Domain of the True Monarchs,1st Edition,Near Mint,Starlight Rare,0.34
2025-mega-pack-yugioh,Maliss Q White Binder,1st Edition,Moderately Played,Prismatic Secret Rare,0.4
2025-mega-pack-yugioh,Tenacity of the Monarchs,1st Edition,Near Mint,Starlight Rare,0.49
2025-mega-pack-yugioh,Metaltronus,1st Edition,Near Mint,Prismatic Secret Rare,0.48
2025-mega-pack-yugioh,Azamina Mu Rcielago,1st Edition,Near Mint,Prismatic Secret Rare,0.47
2025-mega-pack-yugioh,"Dark Armed, the Dragon of Annihilation",1st Edition,Near Mint,Starlight Rare,0.47
2025-mega-pack-yugioh,Buster Whelp of the Destruction Swordsman,1st Edition,Lightly Played,Ultra Rare,0.3
2025-mega-pack-yugioh,Spell Canceller,1st Edition,Near Mint,Prismatic Secret Rare,0.34
2025-mega-pack-yugioh,Incoming Machine!,1st Edition,Near Mint,Prismatic Secret Rare,0.44
2025-mega-pack-yugioh,Azamina Moa Regina,1st Edition,Near Mint,Prismatic Secret Rare,0.36
2025-mega-pack-yugioh,"Duel Link Dragon, the Duel Dragon",1st Edition,Near Mint,Starlight Rare,0.43
2025-mega-pack-yugioh,Surfacing Big Jaws,1st Edition,Near Mint,Starlight Rare,0.42
2025-mega-pack-yugioh,Gallant Granite,1st Edition,Lightly Played,Ultra Rare,0.4
2025-mega-pack-yugioh,F.A. Dawn Dragster,1st Edition,Lightly Played,Ultra Rare,0.3
2025-mega-pack-yugioh,Gruesome Grave Squirmer,1st Edition,Near Mint,Prismatic Secret Rare,0.41
2025-mega-pack-yugioh,"Minerva, the Athenian Lightsworn",1st Edition,Near Mint,Prismatic Secret Rare,0.4
2025-mega-pack-yugioh,Psychic Processor,1st Edition,Near Mint,Common / Short Print,0.11
2025-mega-pack-yugioh,Future Silence,1st Edition,Lightly Played,Ultra Rare,0.3
2025-mega-pack-yugioh,Ryzeal Duo Drive,1st Edition,Near Mint,Common / Short Print,0.17
2025-mega-pack-yugioh,Max Metalmorph,1st Edition,Near Mint,Common / Short Print,0.21
2025-mega-pack-yugioh,Beelze of the Diabolic Dragons,1st Edition,Near Mint,Starlight Rare,0.4
2025-mega-pack-yugioh,Fiendsmith's Sequence,1st Edition,Lightly Played,Ultra Rare,0.22
2025-mega-pack-yugioh,Obliterate!!!,1st Edition,Near Mint,Starlight Rare,0.39
2025-mega-pack-yugioh,Starliege Photon Blast Dragon,1st Edition,Near Mint,Starlight Rare,0.39
2025-mega-pack-yugioh,Exxod Fires of Rage,1st Edition,Near Mint,Prismatic Secret Rare,0.39
2025-mega-pack-yugioh,Number 11: Big Eye,1st Edition,Lightly Played,Prismatic Secret Rare,0.27
2025-mega-pack-yugioh,Accesscode Talker,1st Edition,Near Mint,Ultra Rare,0.32
2025-mega-pack-yugioh,Topologic Bomber Dragon,1st Edition,Near Mint,Starlight Rare,0.38
2025-mega-pack-yugioh,Fiendsmith's Sanct,1st Edition,Lightly Played,Ultra Rare,0.2
2025-mega-pack-yugioh,Destiny HERO - Destroyer Phoenix Enforcer,1st Edition,Near Mint,Ultra Rare,0.37
2025-mega-pack-yugioh,Traptantalizing Tune,1st Edition,Near Mint,Prismatic Secret Rare,0.37
2025-mega-pack-yugioh,Mischief of the Gnomes,1st Edition,Near Mint,Ultra Rare,0.37
2025-mega-pack-yugioh,Mementotlan Tatsunootoshigo,1st Edition,Lightly Played,Ultra Rare,0.18
2025-mega-pack-yugioh,Tenpai Dragon Fadra,1st Edition,Lightly Played,Ultra Rare,0.25
2025-mega-pack-yugioh,Goblin Bikers Gone Wild,1st Edition,Near Mint,Prismatic Secret Rare,0.36
2025-mega-pack-yugioh,Goblin Bikers Gone Wild,1st Edition,Near Mint,Prismatic Secret Rare,0.36
2025-mega-pack-yugioh,Maliss C GWC-06,1st Edition,Near Mint,Prismatic Secret Rare,0.35
2025-mega-pack-yugioh,"Blaze, Supreme Ruler of all Dragons",1st Edition,Near Mint,Prismatic Secret Rare,0.35
2025-mega-pack-yugioh,Sangenpai Bident Dragion,1st Edition,Near Mint,Ultra Rare,0.34
2025-mega-pack-yugioh,Ancient Gear Dark Golem,1st Edition,Lightly Played,Starlight Rare,0.22
2025-mega-pack-yugioh,Azamina Ilia Silvia,1st Edition,Near Mint,Prismatic Secret Rare,0.34
2025-mega-pack-yugioh,"Poseidra Abyss, the Atlantean Dragon Lord",1st Edition,Lightly Played,Prismatic Secret Rare,0.34
2025-mega-pack-yugioh,Temple of the Kings,1st Edition,Near Mint,Starlight Rare,0.33
2025-mega-pack-yugioh,Centur-Ion Primera Primus,1st Edition,Damaged,Prismatic Secret Rare,0.25
2025-mega-pack-yugioh,Paleozoic Anomalocaris,1st Edition,Near Mint,Prismatic Secret Rare,0.33
2025-mega-pack-yugioh,Gandora-G the Dragon of Destruction,1st Edition,Near Mint,Ultra Rare,0.3
2025-mega-pack-yugioh,Heretical Phobos Covos,1st Edition,Near Mint,Prismatic Secret Rare,0.33
2025-mega-pack-yugioh,Final Bringer of the End Times,1st Edition,Near Mint,Ultra Rare,0.32
2025-mega-pack-yugioh,Sangenpai Transcendent Dragion,1st Edition,Near Mint,Ultra Rare,0.32
2025-mega-pack-yugioh,Goblin Biker Grand Breakout,1st Edition,Near Mint,Ultra Rare,0.31
2025-mega-pack-yugioh,Mimighoul Maker,1st Edition,Near Mint,Ultra Rare,0.31
2025-mega-pack-yugioh,Simultaneous Equation Cannons,1st Edition,Near Mint,Prismatic Secret Rare,0.31
2025-mega-pack-yugioh,Primite Roar,1st Edition,Lightly Played,Ultra Rare,0.12
2025-mega-pack-yugioh,Number 95: Galaxy-Eyes Dark Matter Dragon,1st Edition,Lightly Played,Ultra Rare,0.25
2025-mega-pack-yugioh,Destruction Sword Memories,1st Edition,Near Mint,Ultra Rare,0.3
2025-mega-pack-yugioh,Number 95: Galaxy-Eyes Dark Matter Dragon,1st Edition,Lightly Played,Ultra Rare,0.25
2025-mega-pack-yugioh,Danger! Nessie!,1st Edition,Near Mint,Prismatic Secret Rare,0.3
2025-mega-pack-yugioh,Magician of Chaos,1st Edition,Near Mint,Ultra Rare,0.3
2025-mega-pack-yugioh,Prayers of the Voiceless Voice,1st Edition,Near Mint,Ultra Rare,0.3
2025-mega-pack-yugioh,"Weiss, Lightsworn Archfiend",1st Edition,Near Mint,Ultra Rare,0.28
2025-mega-pack-yugioh,Barrier of the Voiceless Voice,1st Edition,Near Mint,Ultra Rare,0.28
2025-mega-pack-yugioh,Borrelcode Dragon,1st Edition,Near Mint,Starlight Rare,0.28
2025-mega-pack-yugioh,Metal Illusionist,1st Edition,Lightly Played,Ultra Rare,0.25
2025-mega-pack-yugioh,Nightmare Pain,1st Edition,Near Mint,Ultra Rare,0.28
2025-mega-pack-yugioh,"Flying Mary, the Wandering Ghost Ship",1st Edition,Lightly Played,Prismatic Secret Rare,0.21
2025-mega-pack-yugioh,Metal Illusionist,1st Edition,Lightly Played,Ultra Rare,0.25
2025-mega-pack-yugioh,Tenpai Dragon Chundra,1st Edition,Near Mint,Ultra Rare,0.27
2025-mega-pack-yugioh,Haggard Lizardose,1st Edition,Near Mint,Ultra Rare,0.27
2025-mega-pack-yugioh,Mutamorphosis,1st Edition,Near Mint,Ultra Rare,0.27
2025-mega-pack-yugioh,Paleozoic Opabinia,1st Edition,Near Mint,Prismatic Secret Rare,0.27
2025-mega-pack-yugioh,Vulcan the Divine,1st Edition,Near Mint,Prismatic Secret Rare,0.27
2025-mega-pack-yugioh,Eternal Favorite,1st Edition,Near Mint,Ultra Rare,0.26
2025-mega-pack-yugioh,Mecha Phantom Beast Dracossack,1st Edition,Lightly Played,Prismatic Secret Rare,0.26
2025-mega-pack-yugioh,Junk Synchron,1st Edition,Lightly Played,Ultra Rare,0.2
2025-mega-pack-yugioh,Turn Silence,1st Edition,Near Mint,Ultra Rare,0.26
2025-mega-pack-yugioh,Fiendsmith in Paradise,1st Edition,Lightly Played,Ultra Rare,0.19
2025-mega-pack-yugioh,Ragnaraika the Evil Seed,1st Edition,Near Mint,Ultra Rare,0.25
2025-mega-pack-yugioh,Number C32: Shark Drake LeVeiss,1st Edition,Near Mint,Ultra Rare,0.15
2025-mega-pack-yugioh,Melodious Concerto,1st Edition,Near Mint,Ultra Rare,0.25
